Problem,QQN_Optimizer,NonQQN_Optimizer,Metric,Winner,Test_Statistic,P_Value,Significant,Effect_Size
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,GD-WeightDecay,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-15.494690,0.001000,true,3.986010
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,GD-WeightDecay,Computational_Cost,QQN-CubicQuadraticInterpolation,-9.168690,0.001000,true,2.050181
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,Adam-AMSGrad,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-4.889533,0.001000,true,1.404289
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,Adam-AMSGrad,Computational_Cost,Adam-AMSGrad,151.464819,0.001000,true,33.868563
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,GD-Momentum,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-26.490969,0.001000,true,7.639238
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,GD-Momentum,Computational_Cost,GD-Momentum,585.480671,0.001000,true,132.467148
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,GD,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-29.151652,0.001000,true,6.518507
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,GD,Computational_Cost,QQN-CubicQuadraticInterpolation,-9.168690,0.001000,true,2.050181
NeuralNetwork_100samples_layers_5_10_3,QQN-GoldenSection,Adam,Final_Objective_Value,QQN-GoldenSection,-22.315238,0.001000,true,5.035364
NeuralNetwork_100samples_layers_5_10_3,QQN-GoldenSection,Adam,Computational_Cost,Adam,288.649642,0.001000,true,52.699973
