Problem,ProblemFamily,Dimension,Optimizer,MeanFinalValue,MeanFinalValueSuccess,MeanFinalValueFail,StdFinalValue,BestValue,WorstValue,MeanIterations,MeanFunctionEvals,MeanFunctionEvalsSuccess,MeanFunctionEvalsFail,MeanGradientEvals,MeanGradientEvalsSuccess,MeanGradientEvalsFail,MeanTime,SuccessRate,NumRuns
NeuralNetwork_100samples_layers_5_10_3,ML Neural Networks,93,QQN-GoldenSection,1.723997e-1,NaN,1.723997e-1,7.267268e-3,1.598371e-1,1.946085e-1,19.9,902.1,NaN,902.1,126.4,NaN,126.4,0.311,0.000,60
NeuralNetwork_100samples_layers_5_10_3,ML Neural Networks,93,QQN-CubicQuadraticInterpolation,1.941924e-1,NaN,1.941924e-1,4.043746e-3,1.868317e-1,2.030075e-1,11.9,394.7,NaN,394.7,658.5,NaN,658.5,0.505,0.000,40
NeuralNetwork_100samples_layers_5_10_3,ML Neural Networks,93,L-BFGS-Aggressive,1.717416e-1,NaN,1.717416e-1,6.295309e-3,1.593870e-1,1.865390e-1,101.7,696.4,NaN,696.4,310.0,NaN,310.0,0.359,0.000,40
NeuralNetwork_100samples_layers_5_10_3,ML Neural Networks,93,Adam-Fast,1.344039e-1,1.250526e-1,1.484308e-1,1.354197e-2,1.088408e-1,1.665916e-1,114.4,231.8,234.3,228.1,230.8,233.3,227.1,0.194,0.600,40
NeuralNetwork_100samples_layers_5_10_3,ML Neural Networks,93,Trust Region-Adaptive,9.387989e-1,NaN,9.387989e-1,2.199977e0,1.770413e-1,1.009040e1,18.9,59.1,NaN,59.1,39.9,NaN,39.9,0.037,0.000,20
NeuralNetwork_100samples_layers_5_10_3,ML Neural Networks,93,QQN-Bisection-2,1.433625e-1,NaN,1.433625e-1,1.120275e-2,1.168676e-1,1.697960e-1,45.6,551.8,NaN,551.8,464.1,NaN,464.1,0.431,0.000,20
NeuralNetwork_100samples_layers_5_10_3,ML Neural Networks,93,Trust Region-Conservative,2.191464e-1,NaN,2.191464e-1,2.806823e-3,2.140931e-1,2.239831e-1,39.0,119.2,NaN,119.2,80.1,NaN,80.1,0.075,0.000,20
NeuralNetwork_100samples_layers_5_10_3,ML Neural Networks,93,GD-Momentum,2.323083e-1,NaN,2.323083e-1,5.600695e-3,2.184883e-1,2.398085e-1,18.4,21.4,NaN,21.4,38.9,NaN,38.9,0.029,0.000,20
NeuralNetwork_100samples_layers_5_10_3,ML Neural Networks,93,GD,2.160309e-1,NaN,2.160309e-1,2.352658e-3,2.095779e-1,2.202706e-1,332.0,335.0,NaN,335.0,668.0,NaN,668.0,0.474,0.000,40
NeuralNetwork_100samples_layers_5_10_3,ML Neural Networks,93,QQN-Bisection-1,1.458522e-1,NaN,1.458522e-1,1.018049e-2,1.303615e-1,1.776736e-1,39.3,498.6,NaN,498.6,515.9,NaN,515.9,0.448,0.000,40
NeuralNetwork_100samples_layers_5_10_3,ML Neural Networks,93,L-BFGS,1.684296e-1,NaN,1.684296e-1,1.259793e-2,1.535523e-1,2.109015e-1,92.7,559.0,NaN,559.0,379.1,NaN,379.1,0.366,0.000,20
NeuralNetwork_100samples_layers_5_10_3,ML Neural Networks,93,QQN-MoreThuente,1.533065e-1,NaN,1.533065e-1,2.227731e-2,1.157540e-1,1.887557e-1,43.0,496.8,NaN,496.8,519.6,NaN,519.6,0.452,0.000,20
NeuralNetwork_100samples_layers_10_20_5,ML Neural Networks,325,GD-Momentum,1.648098e-1,NaN,1.648098e-1,1.505992e-2,1.024458e-1,1.825260e-1,33.1,36.1,NaN,36.1,68.3,NaN,68.3,0.094,0.000,20
NeuralNetwork_100samples_layers_10_20_5,ML Neural Networks,325,QQN-MoreThuente,5.092523e-2,NaN,5.092523e-2,1.872372e-2,3.766875e-2,1.120999e-1,56.4,502.4,NaN,502.4,507.8,NaN,507.8,0.841,0.000,20
NeuralNetwork_100samples_layers_10_20_5,ML Neural Networks,325,GD-Nesterov,1.616505e-1,NaN,1.616505e-1,1.195828e-2,1.104440e-1,1.679513e-1,33.1,36.1,NaN,36.1,68.4,NaN,68.4,0.094,0.000,20
NeuralNetwork_100samples_layers_10_20_5,ML Neural Networks,325,GD,1.517867e-1,NaN,1.517867e-1,1.280284e-3,1.489363e-1,1.544586e-1,332.0,335.0,NaN,335.0,668.0,NaN,668.0,0.889,0.000,40
NeuralNetwork_100samples_layers_10_20_5,ML Neural Networks,325,QQN-GoldenSection,8.693382e-2,NaN,8.693382e-2,4.513597e-3,7.805006e-2,9.571163e-2,20.0,893.4,NaN,893.4,127.0,NaN,127.0,0.567,0.000,60
NeuralNetwork_100samples_layers_10_20_5,ML Neural Networks,325,L-BFGS-Aggressive,8.538353e-2,NaN,8.538353e-2,3.378122e-3,7.818376e-2,9.205838e-2,98.5,705.8,NaN,705.8,300.6,NaN,300.6,0.660,0.000,40
NeuralNetwork_100samples_layers_10_20_5,ML Neural Networks,325,Trust Region-Conservative,1.489295e-1,NaN,1.489295e-1,3.395502e-3,1.424600e-1,1.546185e-1,42.0,128.0,NaN,128.0,86.0,NaN,86.0,0.150,0.000,20
